code,city,se_value,id,city2,lat,lng
1,ADANA,0.94901,Adana,Adana,37,35.325
2,ADIYAMAN,-0.77647,Adiyaman,Adıyaman,37.7644,38.2763
3,AFYON,-0.27246,Afyonkarahisar,Afyonkarahisar,38.7581,30.5386
4,AĞRI,-1.28116,Ağri,Ağrı,39.7225,43.0544
5,AMASYA,-0.18592,Amasya,Amasya,40.65,35.8333
6,ANKARA,3.31483,Ankara,Ankara,39.93,32.85
7,ANTALYA,0.91481,Antalya,Antalya,36.9081,30.6956
8,ARTVİN,-0.26018,Artvin,Artvin,41.1822,41.8194
9,AYDIN,0.42026,Aydin,Aydın,37.8481,27.8453
10,BALIKESİR,0.56541,Balikesir,Balıkesir,39.6511,27.8842
11,BİLECİK,0.5043,Bilecik,Bilecik,40.1431,29.9792
12,BİNGÖL,-1.12469,Bingöl,Bingöl,38.8861,40.5017
13,BİTLİS,-1.15736,Bitlis,Bitlis,38.4,42.1167
14,BOLU,0.60861,Bolu,Bolu,40.7333,31.6
15,BURDUR,0.14396,Burdur,Burdur,37.7167,30.2833
16,BURSA,1.6789,Bursa,Bursa,40.1833,29.0667
17,ÇANAKKALE,0.36925,Çanakkale,Çanakkale,40.15,26.4
18,ÇANKIRI,-0.51917,Çankiri,Çankırı,40.6,33.6167
19,ÇORUM,-0.32762,Çorum,Çorum,40.5489,34.9533
20,DENİZLİ,0.71625,Denizli,Denizli,37.7731,29.0878
21,DİYARBAKIR,-0.66993,Diyarbakir,Diyarbakır,37.9108,40.2367
22,EDİRNE,0.56235,Edirne,Edirne,41.6781,26.5594
23,ELAZIĞ,-0.10132,Elaziğ,Elazığ,38.6667,39.2167
24,ERZİNCAN,-0.49288,Erzincan,Erzincan,39.7464,39.4914
25,ERZURUM,-0.53286,Erzurum,Erzurum,39.9097,41.2756
26,ESKİŞEHİR,1.10368,Eskişehir,Eskişehir,39.7767,30.5206
27,GAZİANTEP,0.46176,Gaziantep,Gaziantep,37.0667,37.3833
28,GİRESUN,-0.36696,Giresun,Giresun,40.9,38.4167
29,GÜMÜŞHANE,-0.92501,Gümüşhane,Gümüşhane,40.4597,39.4778
30,HAKKARİ,-1.13956,Hakkari,Hakkari,37.5744,43.7408
31,HATAY,0.19614,Hatay,Hatay,36.2,36.15
32,ISPARTA,0.21188,Isparta,Isparta,37.7667,30.55
33,MERSİN,0.51935,Mersin,Mersin,36.8,34.6167
34,İSTANBUL,4.80772,Istanbul,Istanbul,41.01,28.9603
35,İZMİR,2.5241,İzmir,İzmir,38.4127,27.1384
36,KARS,-0.81944,Kars,Kars,40.6069,43.0931
37,KASTAMONU,-0.37558,Kastamonu,Kastamonu,41.3833,33.7833
38,KAYSERİ,0.47749,Kayseri,Kayseri,38.7333,35.4833
39,KIRKLARELİ,0.86288,Kirklareli,Kırklareli,41.7347,27.2253
40,KIRŞEHİR,-0.2287,Kirşehir,Kırşehir,39.145,34.1608
41,KOCAELİ,1.94329,Kocaeli,Kocaeli,40.7656,29.9406
42,KONYA,0.25255,Konya,Konya,37.8714,32.4847
43,KÜTAHYA,-0.20685,Kütahya,Kütahya,39.4242,29.9833
44,MALATYA,-0.22627,Malatya,Malatya,38.3554,38.3337
45,MANİSA,0.34166,Manisa,Manisa,38.6131,27.4258
46,K.MARAŞ,-0.34969,Kahramanmaraş,Kahramanmaraş,37.5875,36.9453
47,MARDİN,-0.98944,Mardin,Mardin,37.3167,40.7378
48,MUĞLA,0.71239,Muğla,Muğla,37.2167,28.3667
49,MUŞ,-1.43956,Muş,Muş,38.7333,41.4911
50,NEVŞEHİR,-0.07484,Nevşehir,Nevşehir,38.625,34.7122
51,NİĞDE,-0.35583,Niğde,Niğde,37.9667,34.6792
52,ORDU,-0.64489,Ordu,Ordu,40.9833,37.8833
53,RİZE,-0.17841,Rize,Rize,41.0167,40.5167
54,SAKARYA,0.40405,Sakarya,Sakarya,40.7778,30.4028
55,SAMSUN,0.08792,Samsun,Samsun,41.2867,36.33
56,SİİRT,-1.00644,Siirt,Siirt,37.8417,41.9458
57,SİNOP,-0.48518,Sinop,Sinop,42.0267,35.1511
58,SİVAS,-0.40597,Sivas,Sivas,39.75,37.0167
59,TEKİRDAĞ,1.05893,Tekirdağ,Tekirdağ,40.9833,27.5167
